单词,词构解释,词性1,意思1.1,中英解释1.1,词组1.1.1,例句1.1.1,词组1.1.2,例句1.1.2,词组1.1.3,例句1.1.3,词组1.1.4,例句1.1.4,意思1.2,中英解释1.2,词组1.2.1,例句1.2.1,词组1.2.2,例句1.2.2,词组1.2.3,例句1.2.3,词组1.2.4,例句1.2.4,意思1.3,中英解释1.3,词组1.3.1,例句1.3.1,词组1.3.2,例句1.3.2,词组1.3.3,例句1.3.3,词组1.3.4,例句1.3.4,意思1.4,中英解释1.4,词组1.4.1,例句1.4.1,词组1.4.2,例句1.4.2,词组1.4.3,例句1.4.3,词组1.4.4,例句1.4.4,意思1.5,中英解释1.5,词组1.5.1,例句1.5.1,词组1.5.2,例句1.5.2,词组1.5.3,例句1.5.3,词组1.5.4,例句1.5.4,词性2,意思2.1,中英解释2.1,词组2.1.1,例句2.1.1,词组2.1.2,例句2.1.2,词组2.1.3,例句2.1.3,词组2.1.4,例句2.1.4,意思2.2,中英解释2.2,词组2.2.1,例句2.2.1,词组2.2.2,例句2.2.2,词组2.2.3,例句2.2.3,词组2.2.4,例句2.2.4,意思2.3,中英解释2.3,词组2.3.1,例句2.3.1,词组2.3.2,例句2.3.2,词组2.3.3,例句2.3.3,词组2.3.4,例句2.3.4,意思2.4,中英解释2.4,词组2.4.1,例句2.4.1,词组2.4.2,例句2.4.2,词组2.4.3,例句2.4.3,词组2.4.4,例句2.4.4,意思2.5,中英解释2.5,词组2.5.1,例句2.5.1,词组2.5.2,例句2.5.2,词组2.5.3,例句2.5.3,词组2.5.4,例句2.5.4,词性3,意思3.1,中英解释3.1,词组3.1.1,例句3.1.1,词组3.1.2,例句3.1.2,词组3.1.3,例句3.1.3,词组3.1.4,例句3.1.4,意思3.2,中英解释3.2,词组3.2.1,例句3.2.1,词组3.2.2,例句3.2.2,词组3.2.3,例句3.2.3,词组3.2.4,例句3.2.4,意思3.3,中英解释3.3,词组3.3.1,例句3.3.1,词组3.3.2,例句3.3.2,词组3.3.3,例句3.3.3,词组3.3.4,例句3.3.4,意思3.4,中英解释3.4,词组3.4.1,例句3.4.1,词组3.4.2,例句3.4.2,词组3.4.3,例句3.4.3,词组3.4.4,例句3.4.4,意思3.5,中英解释3.5,词组3.5.1,例句3.5.1,词组3.5.2,例句3.5.2,词组3.5.3,例句3.5.3,词组3.5.4,例句3.5.4,词型变化,单词比较,共性,差异
calm,,adj,( 天气、海洋等 ) 平静的:,,,The weather was fine and the lake was calm. 天气很好，湖面很平静。,,,,,,,（人）镇静的；沉着的    ,,, Keep calm and be prepared. 保持冷静，做好准备。    ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vt & vi  ,( 使 ) 平静; 平静下来:  ,,,"The deep, gentle voice helped calm the nervous girl. 那低沉而又温柔的声音使紧张的女孩平静了下来。  ",calm down ( 使 ) 平静下来; ( 使 ) 镇静下来:,"I placed the chick in the nest, and it quickly calmed down. 我把小鸟放到巢里，它很快平静了下来。； When he gets upset, he will take a few deep breaths to calm himself down. 心烦时，他会深吸几口气以使自己平静下来。 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, n,[Cl & [U] 平静; 镇静:,,,After a storm comes a calm. 暴风雨之后是平静。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"            quiet, calm, still, silent",四者均可用作形容词，均含有‘静’的意思  ,"                                          quiet 意为“安静的” “轻声的”, 侧重 “不吵”   (not noisy) ,  指可以发出小的声响；也可形容地方或环境“僻静的”“舟静的""; 指人时, 表示 ‘文静的’‘少语寡言的’, 同 silent.  We'll have to be quiet so as not to wake the baby,我们得安静点，以免吵醒孩子。   They lead a quiet life. 他们过着平静的生活。   She is a very quiet / silent girl. 她是个很文静的女孩  calm 指天气时意为“无风的”, 同 still;  指海洋时意为 “风平浪静的”; 指人时, 侧重‘不慌’（not nervous）意为“镇静的“冷静的”。  After the high wind passed, the sea was calm again. 大风过后，大海又恢复了平静   You must try to be/stay / remain / keep calm i in an emergency. 情况紧急时，你必须尽量保持冷静。  still 侧重“不动”(not moving) , 表示“不动的” “静止的”, 多指无声无息、没有动作, 不能用来表示心理上的平静。   still water 死水  Please keep still while I take your photograph. 我给你拍照时请不要动   a hot still day 炎热无凤的一天  silent 侧重“没有声音”“不语”(no sound) ; 也可指人少语寡言, 同 quiet.   The house was silent because everyone was asleep. 所有的人都睡着了 ，房子里很安静。  "
calmly,,adv,平静地; 镇静地,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
description,,n,[C] & [U] 描写; 描述；形容；叙述,,, He gave us a brief description of the accident. 他向我们简单地描述了那起事故的经过。,beyond description 难以描述; 难以形容:,"The grand sight of Mount Huangshan is beyond description. 黄山的壮丽美景难以形容。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confident , con-（表强调）+fid（to trust）+-ent（形容词后缀）,adj ,有信心的; 自信的:,,a confident smile 自信的微笑,,,,,,,, [不用于名词前 ] 确信的; 有把握的:,,(be) confident about sth:,I feel confident about the interview. 我对面试很有把握。；We should not mind what others say so long as we are confident about what we have done. 只要我们对自己所做的事有信心 ，就不该在意别人说什么。 ,(be) confident of (doing) sth: ,We are confident of our success. 我们对成功坚信不疑,(be) confident + that 从句:   ,We are confident that the environment will be improved by our further efforts. 我们相信，通过我们进一步的努力环境将会得到改善。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidently,,adv ,自信地; 确信地     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
confidence, con-（表强调）+fid（to trust）+-ence（名词后缀）,n,U] 信任;赖, trust or strong belief in sb / sth else: =对别人的‘信任’,have / lose confidence in sb 信任某人/对某人失去信任,,(a) lack of confidence in sb/sth ,,gain / win / earn sb’s confidence 赢得某人的信任,,,,,,,,,,,,,,,,,,,,,,,,[ 正式用语 ] 秘密; 机密 ,因‘信任’某人而透露的事,,,,,,,,,[U] 确信; 把握 ,the feeling that sth will happen or is true: = 对事情的“信任,say / speak with confidence 有把握地说,,,We have full confidence that we shall succeed. 我们完全有把握取得成功。,,,,,,[U] 自信; 信心 ,"the feeling that you’re sure about your own abilities, opinions, etc.:=对自己的‘信任’",lack confidence in onese上对自己缺乏信心,,increase / build up one’s confidence 增强 / 建立自信,,,"I gained so much confidence that I went back to school as a new person. 我获得了极大的自信，回到学校后像换了个人似的。；Naturally, shy people might not have enough confidence to start up conversations with strangers.很自然，害羞的人可能没有足够的自信和陌生人交谈。               ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poster ,post（张贴）+-er（用于……的物体）,n ,[C] 海报; 招贴画,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
badminton ,,n ,[U] 羽毛球运动;,, play badminton 打羽毛球,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drama ,,n, IC] ( 一出 ) 戏; 戏剧性事件  ,,a TV/ costume / family drama 电视/古装/家庭剧       ,,a night of high drama (= very exciting events) 充满戏剧性的夜晚        ,,,,,, [U] 戏剧; 戏剧艺术; 戏剧文学:     ,,a drama school 戏剧学校,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
band ,,n,[C] 带；箍; 条:,,a rubber band 橡皮筋,,broad-band connection 宽带连接,,,,,, 群; 帮；伙,,a band of volunteers 一群志愿者,,,,,,,,乐队,,a jazz / military band 爵士/军乐队,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
